username1,username2,link1,link2,comparison_type,ssim,features2d
danzheng,1,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-1-2016.herokuapp.com/,maps,41.3,74.3
danzheng,10,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-10-2016.herokuapp.com/,maps,66.5,77.8
danzheng,12,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-12-2016.herokuapp.com/,maps,38.5,76.9
danzheng,14,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-14-2016.herokuapp.com/,maps,55.2,78.3
danzheng,2,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-2-2016.herokuapp.com/,maps,56.7,78.6
danzheng,3,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,55.2,78.3
danzheng,4,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-4-2016.herokuapp.com/,maps,55.2,78.3
danzheng,5,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-5-2016.herokuapp.com/,maps,55.2,78.3
danzheng,7,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-7-2016.herokuapp.com/,maps,35.2,81.2
danzheng,8,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-8-2016.herokuapp.com/,maps,55.2,78.3
danzheng,9,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-9-2016.herokuapp.com/,maps,55.2,78.3
danzheng,danzheng,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,100.0,100.0
danzheng,2016-Purdue-Ironhack-Tutorials,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,55.2,78.3
analyst1001,1,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-1-2016.herokuapp.com/,maps,48.4,91.0
analyst1001,10,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-10-2016.herokuapp.com/,maps,59.2,96.0
analyst1001,12,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-12-2016.herokuapp.com/,maps,40.3,100.0
analyst1001,14,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-14-2016.herokuapp.com/,maps,100.0,100.0
analyst1001,2,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-2-2016.herokuapp.com/,maps,95.6,100.0
analyst1001,3,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-3-2016.herokuapp.com/,maps,100.0,100.0
analyst1001,4,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-4-2016.herokuapp.com/,maps,100.0,100.0
analyst1001,5,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-5-2016.herokuapp.com/,maps,100.0,100.0
analyst1001,7,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-7-2016.herokuapp.com/,maps,42.1,79.4
analyst1001,8,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-8-2016.herokuapp.com/,maps,100.0,100.0
analyst1001,9,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-9-2016.herokuapp.com/,maps,100.0,100.0
analyst1001,danzheng,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,55.2,77.4
analyst1001,2016-Purdue-Ironhack-Tutorials,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,100.0,100.0
chriscoraggio,1,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-1-2016.herokuapp.com/,maps,56.8,92.4
chriscoraggio,10,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-10-2016.herokuapp.com/,maps,71.6,98.0
chriscoraggio,12,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-12-2016.herokuapp.com/,maps,48.7,88.2
chriscoraggio,14,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-14-2016.herokuapp.com/,maps,53.3,97.0
chriscoraggio,2,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-2-2016.herokuapp.com/,maps,54.4,97.0
chriscoraggio,3,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-3-2016.herokuapp.com/,maps,53.3,97.0
chriscoraggio,4,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-4-2016.herokuapp.com/,maps,53.3,97.0
chriscoraggio,5,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-5-2016.herokuapp.com/,maps,53.3,97.0
chriscoraggio,7,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-7-2016.herokuapp.com/,maps,51.9,89.0
chriscoraggio,8,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-8-2016.herokuapp.com/,maps,53.3,97.0
chriscoraggio,9,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-9-2016.herokuapp.com/,maps,53.3,97.0
chriscoraggio,danzheng,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,73.6,78.7
chriscoraggio,2016-Purdue-Ironhack-Tutorials,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,53.3,97.0
drewatk,1,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-1-2016.herokuapp.com/,maps,31.2,80.4
drewatk,10,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-10-2016.herokuapp.com/,maps,40.1,87.4
drewatk,12,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-12-2016.herokuapp.com/,maps,100.0,100.0
drewatk,14,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-14-2016.herokuapp.com/,maps,40.3,100.0
drewatk,2,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-2-2016.herokuapp.com/,maps,40.3,100.0
drewatk,3,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-3-2016.herokuapp.com/,maps,40.3,100.0
drewatk,4,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-4-2016.herokuapp.com/,maps,40.3,100.0
drewatk,5,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-5-2016.herokuapp.com/,maps,40.3,100.0
drewatk,7,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-7-2016.herokuapp.com/,maps,23.8,84.2
drewatk,8,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-8-2016.herokuapp.com/,maps,40.3,100.0
drewatk,9,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-9-2016.herokuapp.com/,maps,40.3,100.0
drewatk,danzheng,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,38.5,77.6
drewatk,2016-Purdue-Ironhack-Tutorials,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,40.3,100.0
kathy789,1,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack-1-2016.herokuapp.com/,maps,49.4,91.7
kathy789,10,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack-10-2016.herokuapp.com/,maps,60.7,96.0
kathy789,12,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack-12-2016.herokuapp.com/,maps,40.3,100.0
kathy789,14,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack-14-2016.herokuapp.com/,maps,95.6,100.0
kathy789,2,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack-2-2016.herokuapp.com/,maps,100.0,100.0
kathy789,3,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack-3-2016.herokuapp.com/,maps,95.6,100.0
kathy789,4,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack-4-2016.herokuapp.com/,maps,95.6,100.0
kathy789,5,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack-5-2016.herokuapp.com/,maps,95.6,100.0
