username1,username2,link1,link2,comparison_type,ssim,features2d
danzheng,1,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-1-2016.herokuapp.com/,maps,15.2,22.4
danzheng,10,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-10-2016.herokuapp.com/,maps,19.0,72.2
danzheng,12,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-12-2016.herokuapp.com/,maps,37.7,47.0
danzheng,14,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-14-2016.herokuapp.com/,maps,20.3,47.4
danzheng,2,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-2-2016.herokuapp.com/,maps,20.7,47.6
danzheng,3,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,20.3,47.4
danzheng,4,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-4-2016.herokuapp.com/,maps,20.3,47.4
danzheng,5,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-5-2016.herokuapp.com/,maps,20.3,47.4
danzheng,7,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-7-2016.herokuapp.com/,maps,38.1,41.8
danzheng,8,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-8-2016.herokuapp.com/,maps,20.3,47.4
danzheng,9,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-9-2016.herokuapp.com/,maps,20.3,47.4
danzheng,danzheng,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,100.0,100.0
danzheng,2016-Purdue-Ironhack-Tutorials,http://blackironhack-danzheng-2016p2.herokuapp.com/,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,20.3,47.4
analyst1001,1,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-1-2016.herokuapp.com/,maps,6.0,22.1
analyst1001,10,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack-10-2016.herokuapp.com/,maps,8.4,63.1
