username1,username2,link1,link2,average_distance,distance_between_averages
analyst1001,analyst1001,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,11.396109241841469,0
analyst1001,chriscoraggio,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,1329.3633192374375,551.857966752705
analyst1001,drewatk,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,11.396109241841469,0
analyst1001,kathy789,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,,
analyst1001,nathanamorin,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-nathanamorin/home.html,11.396109241841469,0
analyst1001,pptx,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-pptx/home.html,11.396109241841469,0
analyst1001,rkp7,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-rkp7/home.html,11.396109241841469,0
analyst1001,saul97,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-saul97/home.html,,
analyst1001,sauravn,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-sauravn/home.html,,
analyst1001,thesoupgirl,http://blackironhack2016.herokuapp.com/p3-analyst1001/home.html,http://blackironhack2016.herokuapp.com/p3-thesoupgirl/home.html,11.396109241841469,0
chriscoraggio,chriscoraggio,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,1818.613485104366,0
chriscoraggio,drewatk,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,1329.3633192374316,551.857966752705
chriscoraggio,kathy789,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,,
chriscoraggio,nathanamorin,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack2016.herokuapp.com/p3-nathanamorin/home.html,1329.3633192374316,551.857966752705
chriscoraggio,pptx,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack2016.herokuapp.com/p3-pptx/home.html,1329.3633192374316,551.857966752705
chriscoraggio,rkp7,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack2016.herokuapp.com/p3-rkp7/home.html,1329.3633192374316,551.857966752705
chriscoraggio,saul97,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack2016.herokuapp.com/p3-saul97/home.html,,
chriscoraggio,sauravn,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack2016.herokuapp.com/p3-sauravn/home.html,,
chriscoraggio,thesoupgirl,http://blackironhack2016.herokuapp.com/p3-chriscoraggio/google-maps-api-testing.html,http://blackironhack2016.herokuapp.com/p3-thesoupgirl/home.html,1329.3633192374316,551.857966752705
drewatk,drewatk,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,11.396109241841469,0
drewatk,kathy789,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,,
drewatk,nathanamorin,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack2016.herokuapp.com/p3-nathanamorin/home.html,11.396109241841469,0
drewatk,pptx,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack2016.herokuapp.com/p3-pptx/home.html,11.396109241841469,0
drewatk,rkp7,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack2016.herokuapp.com/p3-rkp7/home.html,11.396109241841469,0
drewatk,saul97,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack2016.herokuapp.com/p3-saul97/home.html,,
drewatk,sauravn,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack2016.herokuapp.com/p3-sauravn/home.html,,
drewatk,thesoupgirl,http://blackironhack2016.herokuapp.com/p3-drewatk/home.html,http://blackironhack2016.herokuapp.com/p3-thesoupgirl/home.html,11.396109241841469,0
kathy789,kathy789,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,,
kathy789,nathanamorin,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack2016.herokuapp.com/p3-nathanamorin/home.html,,
kathy789,pptx,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack2016.herokuapp.com/p3-pptx/home.html,,
kathy789,rkp7,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack2016.herokuapp.com/p3-rkp7/home.html,,
kathy789,saul97,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack2016.herokuapp.com/p3-saul97/home.html,,
kathy789,sauravn,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack2016.herokuapp.com/p3-sauravn/home.html,,
kathy789,thesoupgirl,http://blackironhack2016.herokuapp.com/p3-kathy789/home.html,http://blackironhack2016.herokuapp.com/p3-thesoupgirl/home.html,,
nathanamorin,nathanamorin,http://blackironhack2016.herokuapp.com/p3-nathanamorin/home.html,http://blackironhack2016.herokuapp.com/p3-nathanamorin/home.html,11.396109241841469,0
