username1,username2,link1,link2,comparison_type,ssim,features2d
1,10,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-10-2016.herokuapp.com/,maps,52.0,90.3
1,12,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-12-2016.herokuapp.com/,maps,31.2,78.1
1,14,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-14-2016.herokuapp.com/,maps,48.4,90.5
1,2,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-2-2016.herokuapp.com/,maps,49.4,91.3
1,3,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,48.4,90.5
1,4,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-4-2016.herokuapp.com/,maps,48.4,90.5
1,5,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-5-2016.herokuapp.com/,maps,48.4,90.5
1,7,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-7-2016.herokuapp.com/,maps,41.0,85.1
1,8,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-8-2016.herokuapp.com/,maps,48.4,90.5
1,9,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-9-2016.herokuapp.com/,maps,48.4,90.5
1,danzheng,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,41.3,76.7
1,2016-Purdue-Ironhack-Tutorials,http://blackironhack-1-2016.herokuapp.com/,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,48.4,90.5
10,12,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-12-2016.herokuapp.com/,maps,40.1,88.2
10,14,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-14-2016.herokuapp.com/,maps,59.2,96.0
10,2,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-2-2016.herokuapp.com/,maps,60.7,96.0
10,3,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,59.2,96.0
10,4,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-4-2016.herokuapp.com/,maps,59.2,96.0
10,5,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-5-2016.herokuapp.com/,maps,59.2,96.0
10,7,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-7-2016.herokuapp.com/,maps,43.6,89.3
10,8,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-8-2016.herokuapp.com/,maps,59.2,96.0
10,9,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-9-2016.herokuapp.com/,maps,59.2,96.0
10,danzheng,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,66.5,77.6
10,2016-Purdue-Ironhack-Tutorials,http://blackironhack-10-2016.herokuapp.com/,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,59.2,96.0
12,14,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-14-2016.herokuapp.com/,maps,40.3,100.0
12,2,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-2-2016.herokuapp.com/,maps,40.3,100.0
12,3,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,40.3,100.0
