username1,username2,link1,link2,comparison_type,ssim,features2d
1,10,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-10-2016.herokuapp.com/,maps,9.1,19.4
1,12,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-12-2016.herokuapp.com/,maps,13.1,19.1
1,14,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-14-2016.herokuapp.com/,maps,6.0,17.7
1,2,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-2-2016.herokuapp.com/,maps,6.0,16.3
1,3,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,6.0,17.7
1,4,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-4-2016.herokuapp.com/,maps,6.0,17.7
1,5,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-5-2016.herokuapp.com/,maps,6.0,17.7
1,7,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-7-2016.herokuapp.com/,maps,17.6,20.0
1,8,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-8-2016.herokuapp.com/,maps,6.0,17.7
1,9,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-9-2016.herokuapp.com/,maps,6.0,17.7
1,danzheng,http://blackironhack-1-2016.herokuapp.com/,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,15.2,18.3
1,2016-Purdue-Ironhack-Tutorials,http://blackironhack-1-2016.herokuapp.com/,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,6.0,17.7
10,12,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-12-2016.herokuapp.com/,maps,24.5,54.2
10,14,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-14-2016.herokuapp.com/,maps,8.4,63.9
10,2,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-2-2016.herokuapp.com/,maps,8.4,48.9
10,3,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,8.4,63.9
10,4,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-4-2016.herokuapp.com/,maps,8.4,63.9
10,5,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-5-2016.herokuapp.com/,maps,8.4,63.9
10,7,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-7-2016.herokuapp.com/,maps,35.2,43.6
10,8,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-8-2016.herokuapp.com/,maps,8.4,63.9
10,9,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-9-2016.herokuapp.com/,maps,8.4,63.9
10,danzheng,http://blackironhack-10-2016.herokuapp.com/,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,19.0,72.5
10,2016-Purdue-Ironhack-Tutorials,http://blackironhack-10-2016.herokuapp.com/,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,8.4,63.9
12,14,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-14-2016.herokuapp.com/,maps,39.1,100.0
12,2,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-2-2016.herokuapp.com/,maps,39.2,100.0
12,3,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,39.1,100.0
12,4,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-4-2016.herokuapp.com/,maps,39.1,100.0
12,5,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-5-2016.herokuapp.com/,maps,39.1,100.0
12,7,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-7-2016.herokuapp.com/,maps,27.9,44.6
12,8,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-8-2016.herokuapp.com/,maps,39.1,100.0
12,9,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-9-2016.herokuapp.com/,maps,39.1,100.0
12,danzheng,http://blackironhack-12-2016.herokuapp.com/,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,37.7,47.0
12,2016-Purdue-Ironhack-Tutorials,http://blackironhack-12-2016.herokuapp.com/,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,39.1,100.0
14,2,http://blackironhack-14-2016.herokuapp.com/,http://blackironhack-2-2016.herokuapp.com/,maps,97.4,100.0
14,3,http://blackironhack-14-2016.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,100.0,100.0
14,4,http://blackironhack-14-2016.herokuapp.com/,http://blackironhack-4-2016.herokuapp.com/,maps,100.0,100.0
14,5,http://blackironhack-14-2016.herokuapp.com/,http://blackironhack-5-2016.herokuapp.com/,maps,100.0,100.0
14,7,http://blackironhack-14-2016.herokuapp.com/,http://blackironhack-7-2016.herokuapp.com/,maps,45.4,40.8
14,8,http://blackironhack-14-2016.herokuapp.com/,http://blackironhack-8-2016.herokuapp.com/,maps,100.0,100.0
14,9,http://blackironhack-14-2016.herokuapp.com/,http://blackironhack-9-2016.herokuapp.com/,maps,100.0,100.0
14,danzheng,http://blackironhack-14-2016.herokuapp.com/,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,20.3,47.9
14,2016-Purdue-Ironhack-Tutorials,http://blackironhack-14-2016.herokuapp.com/,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,100.0,100.0
2,3,http://blackironhack-2-2016.herokuapp.com/,http://blackironhack-3-2016.herokuapp.com/,maps,97.4,100.0
2,4,http://blackironhack-2-2016.herokuapp.com/,http://blackironhack-4-2016.herokuapp.com/,maps,97.4,100.0
2,5,http://blackironhack-2-2016.herokuapp.com/,http://blackironhack-5-2016.herokuapp.com/,maps,97.4,100.0
2,7,http://blackironhack-2-2016.herokuapp.com/,http://blackironhack-7-2016.herokuapp.com/,maps,45.4,36.1
2,8,http://blackironhack-2-2016.herokuapp.com/,http://blackironhack-8-2016.herokuapp.com/,maps,97.4,100.0
2,9,http://blackironhack-2-2016.herokuapp.com/,http://blackironhack-9-2016.herokuapp.com/,maps,97.4,100.0
2,danzheng,http://blackironhack-2-2016.herokuapp.com/,http://blackironhack-danzheng-2016p2.herokuapp.com/,maps,20.7,47.2
2,2016-Purdue-Ironhack-Tutorials,http://blackironhack-2-2016.herokuapp.com/,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,97.4,100.0
