username1,username2,link1,link2,comparison_type,ssim,features2d
aorme,andrewjst,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,maps,8.0,54.3
aorme,aorme,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,maps,100.0,100.0
aorme,beichhor,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-beichhor/home.html,maps,66.4,48.7
aorme,gillism,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-gillism/home.html,maps,ERROR,100.0
aorme,jwbalazs,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-jwbalazs/home.html,maps,8.4,52.3
aorme,lindunhe,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-lindunhe/home.html,maps,10.9,100.0
aorme,marti763,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-marti763/home.html,maps,43.0,100.0
aorme,mlung,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-mlung/home.html,maps,38.2,38.7
aorme,owen9211,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-owen9211/home.html,maps,43.0,100.0
aorme,peng115,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-peng115/home.html,maps,45.6,54.4
aorme,ravengao,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-ravengao/home.html,maps,59.8,56.8
aorme,ssandeep,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-ssandeep/home.html,maps,43.5,100.0
aorme,vtung,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-vtung/home.html,maps,43.0,100.0
aorme,wenjiewu,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-wenjiewu/home.html,maps,61.2,66.8
aorme,yexin,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-yexin/home.html,maps,46.5,100.0
aorme,yifeitai,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-yifeitai/home.html,maps,43.0,100.0
aorme,zhan1046,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-zhan1046/home.html,maps,31.2,100.0
aorme,zhe1994,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p3-zhe1994/home.html,maps,39.6,75.5
aorme,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,43.0,100.0
beichhor,andrewjst,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,maps,68.4,76.8
beichhor,aorme,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,maps,66.4,48.4
beichhor,beichhor,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-beichhor/home.html,maps,100.0,100.0
