username1,username2,link1,link2,comparison_type,ssim,features2d
aorme,beichhor,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,maps,66.4,48.7
aorme,gillism,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,maps,43.5,100.0
aorme,hutchin5,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,43.0,100.0
aorme,jwbalazs,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,maps,8.4,52.3
aorme,lindunhe,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,maps,8.8,100.0
aorme,marti763,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,maps,43.1,100.0
aorme,mlung,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,maps,38.2,38.7
aorme,owen9211,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,maps,43.0,100.0
aorme,peng115,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,45.6,54.4
aorme,ravengao,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,71.1,58.1
aorme,vtung,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,43.0,100.0
aorme,wenjiewu,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,50.2,44.3
aorme,yexin,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,46.5,100.0
aorme,yifeitai,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,43.0,100.0
aorme,yunhan,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,43.5,100.0
aorme,zhan1046,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,31.2,100.0
