username1,username2,link1,link2,average_distance,distance_between_averages
andrewjst,aorme,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-aorme-2016.herokuapp.com,,
andrewjst,beichhor,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-beichhor-2016.herokuapp.com,,
andrewjst,bfellur,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-bfellur-2016.herokuapp.com,,
andrewjst,corpsefact,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-corpsefact-2016.herokuapp.com,,
andrewjst,ditton,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-ditton-2016.herokuapp.com,,
andrewjst,gardne16,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-gardne16-2016.herokuapp.com,,
andrewjst,gillism,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-gillism-2016.herokuapp.com,,
andrewjst,hutchin5,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-hutchin5-2016.herokuapp.com,,
andrewjst,jwbalazs,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-jwbalazs-2016.herokuapp.com,,
andrewjst,lindunhe,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-lindunhe-2016.herokuapp.com,,
andrewjst,marti763,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-marti763-2016.herokuapp.com,,
andrewjst,mingchucong,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-mingchucong-2016.herokuapp.com,,
andrewjst,mingranli,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-mingranli-2016.herokuapp.com,,
andrewjst,mlung,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-mlung-2016.herokuapp.com,,
andrewjst,owen9211,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-owen9211-2016.herokuapp.com,,
andrewjst,peng115,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-peng115-2016.herokuapp.com,,
andrewjst,ravengao,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-ravengao-2016.herokuapp.com,,
andrewjst,ssandeep,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-ssandeep-2016.herokuapp.com,,
andrewjst,steven91,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-steven91-2016.herokuapp.com,,
andrewjst,tang227,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-tang227-2016.herokuapp.com,,
andrewjst,vtung,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-vtung-2016.herokuapp.com,,
andrewjst,wenjiewu,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-wenjiewu-2016.herokuapp.com,,
andrewjst,yexin,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-yexin-2016.herokuapp.com,,
andrewjst,zhan1046,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-zhan1046-2016.herokuapp.com,,
andrewjst,zhan2709,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-zhan2709-2016.herokuapp.com,,
andrewjst,zhao719,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-zhao719-2016.herokuapp.com,,
andrewjst,zhe1994,http://goldironhack-andrewjst-2016.herokuapp.com,http://goldironhack-zhe1994-2016.herokuapp.com,,
aorme,aorme,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-aorme-2016.herokuapp.com,,
aorme,beichhor,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-beichhor-2016.herokuapp.com,,
aorme,bfellur,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-bfellur-2016.herokuapp.com,,
aorme,corpsefact,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-corpsefact-2016.herokuapp.com,,
aorme,ditton,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-ditton-2016.herokuapp.com,,
aorme,gardne16,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-gardne16-2016.herokuapp.com,,
aorme,gillism,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-gillism-2016.herokuapp.com,,
aorme,hutchin5,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-hutchin5-2016.herokuapp.com,,
aorme,jwbalazs,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-jwbalazs-2016.herokuapp.com,,
aorme,lindunhe,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-lindunhe-2016.herokuapp.com,,
aorme,marti763,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-marti763-2016.herokuapp.com,,
aorme,mingchucong,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-mingchucong-2016.herokuapp.com,,
aorme,mingranli,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-mingranli-2016.herokuapp.com,,
aorme,mlung,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-mlung-2016.herokuapp.com,,
aorme,owen9211,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-owen9211-2016.herokuapp.com,,
aorme,peng115,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-peng115-2016.herokuapp.com,,
aorme,ravengao,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-ravengao-2016.herokuapp.com,,
aorme,ssandeep,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-ssandeep-2016.herokuapp.com,,
aorme,steven91,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-steven91-2016.herokuapp.com,,
aorme,tang227,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-tang227-2016.herokuapp.com,,
aorme,vtung,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-vtung-2016.herokuapp.com,,
aorme,wenjiewu,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-wenjiewu-2016.herokuapp.com,,
aorme,yexin,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-yexin-2016.herokuapp.com,,
aorme,yifeitai,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-yifeitai-2016.herokuapp.com,,
aorme,yunhan,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-yunhan-2016.herokuapp.com,,
aorme,zhan1046,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-zhan1046-2016.herokuapp.com,,
aorme,zhan2709,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-zhan2709-2016.herokuapp.com,,
aorme,zhao719,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-zhao719-2016.herokuapp.com,,
aorme,zhe1994,http://goldironhack-aorme-2016.herokuapp.com,http://goldironhack-zhe1994-2016.herokuapp.com,,
