username1,username2,link1,link2,average_distance,distance_between_averages
aterriqu,megamindhenry,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,,
aterriqu,abelal16,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,,
aterriqu,ankitbatheja,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-ankitbatheja/index.html,,
aterriqu,aterriqu,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-aterriqu/Phase,,
aterriqu,huayifang,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-huayifang/index.html,,
aterriqu,jeffkeilmann,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-jeffkeilmann/index,,
aterriqu,lostkuma,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-lostkuma/index.html,,
aterriqu,meetalivaidya,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-meetalivaidya/index.html,,
aterriqu,patrickherrod,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-patrickherrod/index.html,,
aterriqu,pjt90,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-pjt90/FreshVeggies,,
aterriqu,pmittal115,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-pmittal115/index.html,,
aterriqu,sabrina-hsu,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-sabrina-hsu/Project%202%20Website.html,,
aterriqu,sauravn,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-sauravn/index.html,,
aterriqu,tanmayee123,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-tanmayee123/map.html,,
aterriqu,wluan,http://phase1-greenironhack-aterriqu.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-wluan/index,,
crloflin,megamindhenry,http://phase1-greenironhack-crloflin.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,,
crloflin,abelal16,http://phase1-greenironhack-crloflin.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,,
crloflin,ankitbatheja,http://phase1-greenironhack-crloflin.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-ankitbatheja/index.html,,
crloflin,aterriqu,http://phase1-greenironhack-crloflin.herokuapp.com,http://greenironhack2016.herokuapp.com/p2-aterriqu/Phase,,
