username1,username2,link1,link2,comparison_type,ssim,features2d
huayifang,lostkuma,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,maps,49.6,58.6
huayifang,pjt90,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,maps,78.9,76.3
huayifang,sauravn,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,maps,53.2,46.2
huayifang,megamindhenry,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-megamindhenry/index.html,maps,45.0,86.0
huayifang,tanmayee123,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-tanmayee123/map.html,maps,65.6,63.4
huayifang,2016-Purdue-Ironhack-Tutorials,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,50.0,58.1
lostkuma,pjt90,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,maps,59.7,46.8
lostkuma,sauravn,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,maps,43.5,38.9
lostkuma,megamindhenry,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-megamindhenry/index.html,maps,52.9,54.1
lostkuma,tanmayee123,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-tanmayee123/map.html,maps,56.9,42.1
lostkuma,2016-Purdue-Ironhack-Tutorials,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,39.8,40.2
pjt90,sauravn,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,maps,66.1,52.3
pjt90,megamindhenry,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-megamindhenry/index.html,maps,57.6,77.8
pjt90,tanmayee123,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-tanmayee123/map.html,maps,78.4,86.3
