username1,username2,link1,link2,comparison_type,ssim,features2d
megamindhenry,crloflin,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-crloflin.herokuapp.com/test.html,maps,55.5,63.2
megamindhenry,lostkuma,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-lostkuma.herokuapp.com/index.html,maps,53.7,86.6
megamindhenry,meetalivaidya,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-meetalivaidya.herokuapp.com/index.html,maps,52.7,77.7
megamindhenry,megamindhenry,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-megamindhenry.herokuapp.com/index.html,maps,53.6,89.3
megamindhenry,pjt90,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-pjt90.herokuapp.com/FreshVeggies,maps,53.8,79.1
megamindhenry,pmittal115,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-pmittal115.herokuapp.com/index.html,maps,49.7,89.0
megamindhenry,tanmayee123,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-tanmayee123.herokuapp.com/index.html,maps,53.7,86.0
megamindhenry,taycurt17,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-taycurt17.herokuapp.com/public_html/map.html,maps,53.5,89.5
lostkuma,crloflin,http://greenironhack2016.herokuapp.com/p2-lostkuma/index.html,http://greenironhack-crloflin.herokuapp.com/test.html,maps,50.2,65.6
lostkuma,lostkuma,http://greenironhack2016.herokuapp.com/p2-lostkuma/index.html,http://greenironhack-lostkuma.herokuapp.com/index.html,maps,86.8,93.7
lostkuma,meetalivaidya,http://greenironhack2016.herokuapp.com/p2-lostkuma/index.html,http://greenironhack-meetalivaidya.herokuapp.com/index.html,maps,70.1,81.8
lostkuma,megamindhenry,http://greenironhack2016.herokuapp.com/p2-lostkuma/index.html,http://greenironhack-megamindhenry.herokuapp.com/index.html,maps,82.8,90.4
lostkuma,pjt90,http://greenironhack2016.herokuapp.com/p2-lostkuma/index.html,http://greenironhack-pjt90.herokuapp.com/FreshVeggies,maps,83.0,87.1
lostkuma,pmittal115,http://greenironhack2016.herokuapp.com/p2-lostkuma/index.html,http://greenironhack-pmittal115.herokuapp.com/index.html,maps,76.1,92.1
lostkuma,tanmayee123,http://greenironhack2016.herokuapp.com/p2-lostkuma/index.html,http://greenironhack-tanmayee123.herokuapp.com/index.html,maps,83.0,94.0
lostkuma,taycurt17,http://greenironhack2016.herokuapp.com/p2-lostkuma/index.html,http://greenironhack-taycurt17.herokuapp.com/public_html/map.html,maps,82.9,95.0
meetalivaidya,crloflin,http://greenironhack2016.herokuapp.com/p2-meetalivaidya/index.html,http://greenironhack-crloflin.herokuapp.com/test.html,maps,65.0,59.1
meetalivaidya,lostkuma,http://greenironhack2016.herokuapp.com/p2-meetalivaidya/index.html,http://greenironhack-lostkuma.herokuapp.com/index.html,maps,98.8,86.3
meetalivaidya,meetalivaidya,http://greenironhack2016.herokuapp.com/p2-meetalivaidya/index.html,http://greenironhack-meetalivaidya.herokuapp.com/index.html,maps,83.1,74.2
meetalivaidya,megamindhenry,http://greenironhack2016.herokuapp.com/p2-meetalivaidya/index.html,http://greenironhack-megamindhenry.herokuapp.com/index.html,maps,98.7,100.0
meetalivaidya,pjt90,http://greenironhack2016.herokuapp.com/p2-meetalivaidya/index.html,http://greenironhack-pjt90.herokuapp.com/FreshVeggies,maps,99.5,100.0
meetalivaidya,pmittal115,http://greenironhack2016.herokuapp.com/p2-meetalivaidya/index.html,http://greenironhack-pmittal115.herokuapp.com/index.html,maps,90.5,90.8
meetalivaidya,tanmayee123,http://greenironhack2016.herokuapp.com/p2-meetalivaidya/index.html,http://greenironhack-tanmayee123.herokuapp.com/index.html,maps,99.5,100.0
meetalivaidya,taycurt17,http://greenironhack2016.herokuapp.com/p2-meetalivaidya/index.html,http://greenironhack-taycurt17.herokuapp.com/public_html/map.html,maps,99.4,100.0
pjt90,crloflin,http://greenironhack2016.herokuapp.com/p2-pjt90/FreshVeggies,http://greenironhack-crloflin.herokuapp.com/test.html,maps,63.4,66.1
pjt90,lostkuma,http://greenironhack2016.herokuapp.com/p2-pjt90/FreshVeggies,http://greenironhack-lostkuma.herokuapp.com/index.html,maps,94.7,96.6
pjt90,meetalivaidya,http://greenironhack2016.herokuapp.com/p2-pjt90/FreshVeggies,http://greenironhack-meetalivaidya.herokuapp.com/index.html,maps,92.0,80.7
