username1,username2,link1,link2,comparison_type,ssim,features2d
crloflin,abatheja,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,maps,11.9,53.4
crloflin,abelal16,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-abelal16-2016.herokuapp.com/,maps,64.1,56.8
crloflin,aterriqu,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-aterriqu-2016.herokuapp.com/,maps,64.1,41.3
crloflin,crloflin,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-crloflin-2016.herokuapp.com/,maps,41.3,50.4
crloflin,ishtasingh,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,64.1,100.0
crloflin,jkeilmann,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,64.1,36.2
crloflin,megahenry,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-megahenry-2016.herokuapp.com/,maps,64.2,53.6
crloflin,mvaidya,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,60.5,52.7
crloflin,pjt90,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-pjt90-2016.herokuapp.com/,maps,64.1,46.3
crloflin,prachimane,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-prachimane-2016.herokuapp.com/,maps,64.2,100.0
crloflin,tanmayee123,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,64.1,70.7
crloflin,lostkuma,http://greenironhack-crloflin.herokuapp.com/test.html,http://lostkuma.herokuapp.com/,maps,60.1,41.9
crloflin,sauravn,http://greenironhack-crloflin.herokuapp.com/test.html,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
lostkuma,abatheja,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,maps,94.1,60.4
lostkuma,abelal16,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-abelal16-2016.herokuapp.com/,maps,95.7,65.1
lostkuma,aterriqu,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-aterriqu-2016.herokuapp.com/,maps,94.7,68.0
lostkuma,crloflin,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-crloflin-2016.herokuapp.com/,maps,58.3,37.3
lostkuma,ishtasingh,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,87.7,100.0
lostkuma,jkeilmann,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,87.2,71.6
lostkuma,megahenry,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-megahenry-2016.herokuapp.com/,maps,95.0,67.0
lostkuma,mvaidya,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,87.0,76.7
lostkuma,pjt90,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-pjt90-2016.herokuapp.com/,maps,96.1,67.2
lostkuma,prachimane,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-prachimane-2016.herokuapp.com/,maps,94.7,100.0
lostkuma,tanmayee123,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,95.9,63.9
lostkuma,lostkuma,http://greenironhack-lostkuma.herokuapp.com/index.html,http://lostkuma.herokuapp.com/,maps,93.7,100.0
lostkuma,sauravn,http://greenironhack-lostkuma.herokuapp.com/index.html,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
meetalivaidya,abatheja,http://greenironhack-meetalivaidya.herokuapp.com/index.html,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,maps,16.4,63.1
meetalivaidya,abelal16,http://greenironhack-meetalivaidya.herokuapp.com/index.html,http://greenironhack-abelal16-2016.herokuapp.com/,maps,14.1,69.7
meetalivaidya,aterriqu,http://greenironhack-meetalivaidya.herokuapp.com/index.html,http://greenironhack-aterriqu-2016.herokuapp.com/,maps,29.8,98.0
meetalivaidya,crloflin,http://greenironhack-meetalivaidya.herokuapp.com/index.html,http://greenironhack-crloflin-2016.herokuapp.com/,maps,47.1,98.4
