username1,username2,link1,link2,average_distance,distance_between_averages
abelal16,abelal16,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-abelal16.herokuapp.com/index.html,,
abelal16,ankitbatheja,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-ankitbatheja.herokuapp.com/index.html,,
abelal16,aterriqu,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,,
abelal16,ccand93,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-ccand93.herokuapp.com,,
abelal16,cgrieger12,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-cgrieger12.herokuapp.com/index.html,,
abelal16,dengc,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-dengc.herokuapp.com/index.html,,
abelal16,huayifang,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-huayifang.herokuapp.com/index.html,,
abelal16,ishwetasingh,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-ishwetasingh.herokuapp.com/HelloWorld.html,,
abelal16,lheston,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-lheston.herokuapp.com/index.html,,
abelal16,lostkuma,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-lostkuma.herokuapp.com/index.html,,
abelal16,meetalivaidya,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-meetalivaidya.herokuapp.com/index.html,,
abelal16,megamindhenry,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-megamindhenry.herokuapp.com/index.html,,
abelal16,pjt90,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-pjt90.herokuapp.com/FreshVeggies,,
abelal16,pmittal115,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-pmittal115.herokuapp.com/index.html,,
abelal16,prachitamane,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-prachitamane.herokuapp.com/index.html,,
abelal16,sauravn,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-sauravn.herokuapp.com/index.html,,
abelal16,shiboo18,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-shiboo18.herokuapp.com/ProjectFiles,,
abelal16,tanmayee123,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-tanmayee123.herokuapp.com/index.html,,
abelal16,taycurt17,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-taycurt17.herokuapp.com/public_html/map.html,,
abelal16,wluan,http://greenironhack-abelal16.herokuapp.com/index.html,http://greenironhack-wluan.herokuapp.com/d3.html,,
ankitbatheja,ankitbatheja,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-ankitbatheja.herokuapp.com/index.html,,
ankitbatheja,aterriqu,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,,
ankitbatheja,ccand93,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-ccand93.herokuapp.com,,
ankitbatheja,cgrieger12,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-cgrieger12.herokuapp.com/index.html,,
ankitbatheja,dengc,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-dengc.herokuapp.com/index.html,,
ankitbatheja,huayifang,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-huayifang.herokuapp.com/index.html,,
ankitbatheja,ishwetasingh,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-ishwetasingh.herokuapp.com/HelloWorld.html,,
ankitbatheja,lheston,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-lheston.herokuapp.com/index.html,,
ankitbatheja,lostkuma,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-lostkuma.herokuapp.com/index.html,,
ankitbatheja,meetalivaidya,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-meetalivaidya.herokuapp.com/index.html,,
ankitbatheja,megamindhenry,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-megamindhenry.herokuapp.com/index.html,,
ankitbatheja,pjt90,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-pjt90.herokuapp.com/FreshVeggies,,
ankitbatheja,pmittal115,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-pmittal115.herokuapp.com/index.html,,
ankitbatheja,prachitamane,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-prachitamane.herokuapp.com/index.html,,
ankitbatheja,sauravn,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-sauravn.herokuapp.com/index.html,,
ankitbatheja,shiboo18,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-shiboo18.herokuapp.com/ProjectFiles,,
ankitbatheja,tanmayee123,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-tanmayee123.herokuapp.com/index.html,,
ankitbatheja,taycurt17,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-taycurt17.herokuapp.com/public_html/map.html,,
ankitbatheja,wluan,http://greenironhack-ankitbatheja.herokuapp.com/index.html,http://greenironhack-wluan.herokuapp.com/d3.html,,
aterriqu,aterriqu,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,2.3504392336017537,0
aterriqu,ccand93,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-ccand93.herokuapp.com,,
aterriqu,cgrieger12,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-cgrieger12.herokuapp.com/index.html,,
aterriqu,dengc,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-dengc.herokuapp.com/index.html,,
aterriqu,huayifang,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-huayifang.herokuapp.com/index.html,,
aterriqu,ishwetasingh,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-ishwetasingh.herokuapp.com/HelloWorld.html,,
aterriqu,lheston,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-lheston.herokuapp.com/index.html,,
aterriqu,lostkuma,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-lostkuma.herokuapp.com/index.html,,
aterriqu,meetalivaidya,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-meetalivaidya.herokuapp.com/index.html,2.669315338687847,2.506767083698204
aterriqu,megamindhenry,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-megamindhenry.herokuapp.com/index.html,49.92943527096451,13.692017445285906
aterriqu,pjt90,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-pjt90.herokuapp.com/FreshVeggies,2.2975203182417068,1.748006512062934
aterriqu,pmittal115,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-pmittal115.herokuapp.com/index.html,3.3593386477680567,1.0469198623613216
aterriqu,prachitamane,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-prachitamane.herokuapp.com/index.html,,
aterriqu,sauravn,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-sauravn.herokuapp.com/index.html,,
aterriqu,shiboo18,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-shiboo18.herokuapp.com/ProjectFiles,,
aterriqu,tanmayee123,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-tanmayee123.herokuapp.com/index.html,2.2975203182417068,1.748006512062934
aterriqu,taycurt17,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-taycurt17.herokuapp.com/public_html/map.html,8.167417869033969,6.744081593339772
aterriqu,wluan,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,http://greenironhack-wluan.herokuapp.com/d3.html,,
ccand93,ccand93,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-ccand93.herokuapp.com,,
ccand93,cgrieger12,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-cgrieger12.herokuapp.com/index.html,,
ccand93,dengc,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-dengc.herokuapp.com/index.html,,
ccand93,huayifang,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-huayifang.herokuapp.com/index.html,,
ccand93,ishwetasingh,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-ishwetasingh.herokuapp.com/HelloWorld.html,,
ccand93,lheston,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-lheston.herokuapp.com/index.html,,
ccand93,lostkuma,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-lostkuma.herokuapp.com/index.html,,
ccand93,meetalivaidya,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-meetalivaidya.herokuapp.com/index.html,,
ccand93,megamindhenry,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-megamindhenry.herokuapp.com/index.html,,
ccand93,pjt90,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-pjt90.herokuapp.com/FreshVeggies,,
ccand93,pmittal115,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-pmittal115.herokuapp.com/index.html,,
ccand93,prachitamane,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-prachitamane.herokuapp.com/index.html,,
ccand93,sauravn,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-sauravn.herokuapp.com/index.html,,
ccand93,shiboo18,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-shiboo18.herokuapp.com/ProjectFiles,,
ccand93,tanmayee123,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-tanmayee123.herokuapp.com/index.html,,
ccand93,taycurt17,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-taycurt17.herokuapp.com/public_html/map.html,,
ccand93,wluan,http://greenironhack-ccand93.herokuapp.com,http://greenironhack-wluan.herokuapp.com/d3.html,,
cgrieger12,cgrieger12,http://greenironhack-cgrieger12.herokuapp.com/index.html,http://greenironhack-cgrieger12.herokuapp.com/index.html,,
cgrieger12,dengc,http://greenironhack-cgrieger12.herokuapp.com/index.html,http://greenironhack-dengc.herokuapp.com/index.html,,
cgrieger12,huayifang,http://greenironhack-cgrieger12.herokuapp.com/index.html,http://greenironhack-huayifang.herokuapp.com/index.html,,
cgrieger12,ishwetasingh,http://greenironhack-cgrieger12.herokuapp.com/index.html,http://greenironhack-ishwetasingh.herokuapp.com/HelloWorld.html,,
