username1,username2,link1,link2,comparison_type,ssim,features2d
abatheja,abelal16,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-abelal16-2016.herokuapp.com/,maps,96.9,73.7
abatheja,aterriqu,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-aterriqu-2016.herokuapp.com/,maps,96.4,66.0
abatheja,crloflin,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-crloflin-2016.herokuapp.com/,maps,88.3,75.1
abatheja,ishtasingh,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,97.5,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,97.5,81.3
abatheja,megahenry,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-megahenry-2016.herokuapp.com/,maps,96.7,88.2
abatheja,mvaidya,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,97.0,95.5
abatheja,pjt90,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-pjt90-2016.herokuapp.com/,maps,97.5,79.7
abatheja,prachimane,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-prachimane-2016.herokuapp.com/,maps,97.4,100.0
abatheja,tanmayee123,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,97.4,77.3
abatheja,lostkuma,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://lostkuma.herokuapp.com/,maps,97.3,88.0
abatheja,sauravn,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
abelal16,aterriqu,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-aterriqu-2016.herokuapp.com/,maps,96.8,100.0
abelal16,crloflin,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-crloflin-2016.herokuapp.com/,maps,55.0,83.6
abelal16,ishtasingh,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,99.4,100.0
abelal16,jkeilmann,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,98.6,85.3
abelal16,megahenry,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-megahenry-2016.herokuapp.com/,maps,98.3,100.0
abelal16,mvaidya,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,98.6,100.0
abelal16,pjt90,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-pjt90-2016.herokuapp.com/,maps,99.5,100.0
abelal16,prachimane,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-prachimane-2016.herokuapp.com/,maps,99.2,100.0
abelal16,tanmayee123,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,99.6,100.0
abelal16,lostkuma,http://greenironhack-abelal16-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,99.1,91.0
abelal16,sauravn,http://greenironhack-abelal16-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
aterriqu,crloflin,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-crloflin-2016.herokuapp.com/,maps,54.3,57.3
aterriqu,ishtasingh,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,97.9,100.0
aterriqu,jkeilmann,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,97.5,72.1
aterriqu,megahenry,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-megahenry-2016.herokuapp.com/,maps,97.0,100.0
aterriqu,mvaidya,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,96.0,100.0
aterriqu,pjt90,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-pjt90-2016.herokuapp.com/,maps,97.8,100.0
